Source,Target,Type,Id,Label,Weight
boblatta,buckmckeon,Directed,1,boblatta,1
boblatta,cathymcmorris,Directed,1,boblatta,1
boblatta,darrellissa,Directed,1,boblatta,1
boblatta,deptofdefense,Directed,1,boblatta,1
boblatta,deptvetaffairs,Directed,1,boblatta,1
boblatta,gopleader,Directed,1,boblatta,1
boblatta,jasoninthehouse,Directed,1,boblatta,1
boblatta,johnboehner,Directed,1,boblatta,1
boblatta,kevinomccarthy,Directed,1,boblatta,1
buckmckeon,boblatta,Directed,2,buckmckeon,1
buckmckeon,cathymcmorris,Directed,2,buckmckeon,1
buckmckeon,darrellissa,Directed,2,buckmckeon,1
buckmckeon,deptofdefense,Directed,2,buckmckeon,1
buckmckeon,deptvetaffairs,Directed,2,buckmckeon,1
buckmckeon,gopleader,Directed,2,buckmckeon,1
buckmckeon,jasoninthehouse,Directed,2,buckmckeon,1
buckmckeon,johnboehner,Directed,2,buckmckeon,1
buckmckeon,kevinomccarthy,Directed,2,buckmckeon,1
cathymcmorris,boblatta,Directed,3,cathymcmorris,1
cathymcmorris,buckmckeon,Directed,3,cathymcmorris,1
cathymcmorris,darrellissa,Directed,3,cathymcmorris,1
cathymcmorris,deptofdefense,Directed,3,cathymcmorris,1
cathymcmorris,deptvetaffairs,Directed,3,cathymcmorris,1
cathymcmorris,gopleader,Directed,3,cathymcmorris,1
cathymcmorris,jasoninthehouse,Directed,3,cathymcmorris,1
cathymcmorris,johnboehner,Directed,3,cathymcmorris,1
cathymcmorris,kevinomccarthy,Directed,3,cathymcmorris,1
cathymcmorris,nancypelosi,Directed,3,cathymcmorris,1
darrellissa,boblatta,Directed,4,darrellissa,1
darrellissa,buckmckeon,Directed,4,darrellissa,1
darrellissa,cathymcmorris,Directed,4,darrellissa,1
darrellissa,deptofdefense,Directed,4,darrellissa,1
darrellissa,deptvetaffairs,Directed,4,darrellissa,1
darrellissa,gopleader,Directed,4,darrellissa,1
darrellissa,jasoninthehouse,Directed,4,darrellissa,1
darrellissa,johnboehner,Directed,4,darrellissa,1
darrellissa,kevinomccarthy,Directed,4,darrellissa,1
darrellissa,nancypelosi,Directed,4,darrellissa,1
deptofdefense,buckmckeon,Directed,5,deptofdefense,1
deptofdefense,deptvetaffairs,Directed,5,deptofdefense,1
deptvetaffairs,deptofdefense,Directed,5,deptvetaffairs,1
gopleader,boblatta,Directed,6,gopleader,1
gopleader,buckmckeon,Directed,6,gopleader,1
gopleader,cathymcmorris,Directed,6,gopleader,1
gopleader,darrellissa,Directed,6,gopleader,1
gopleader,deptofdefense,Directed,6,gopleader,1
gopleader,jasoninthehouse,Directed,6,gopleader,1
gopleader,johnboehner,Directed,6,gopleader,1
gopleader,kevinomccarthy,Directed,6,gopleader,1
jasoninthehouse,boblatta,Directed,7,jasoninthehouse,1
jasoninthehouse,buckmckeon,Directed,7,jasoninthehouse,1
jasoninthehouse,cathymcmorris,Directed,7,jasoninthehouse,1
jasoninthehouse,darrellissa,Directed,7,jasoninthehouse,1
jasoninthehouse,gopleader,Directed,7,jasoninthehouse,1
jasoninthehouse,johnboehner,Directed,7,jasoninthehouse,1
jasoninthehouse,kevinomccarthy,Directed,7,jasoninthehouse,1
jasoninthehouse,nancypelosi,Directed,7,jasoninthehouse,1
johnboehner,boblatta,Directed,8,johnboehner,1
johnboehner,buckmckeon,Directed,8,johnboehner,1
johnboehner,cathymcmorris,Directed,8,johnboehner,1
johnboehner,darrellissa,Directed,8,johnboehner,1
johnboehner,gopleader,Directed,8,johnboehner,1
johnboehner,jasoninthehouse,Directed,8,johnboehner,1
johnboehner,kevinomccarthy,Directed,8,johnboehner,1
kevinomccarthy,boblatta,Directed,9,kevinomccarthy,1
kevinomccarthy,buckmckeon,Directed,9,kevinomccarthy,1
kevinomccarthy,cathymcmorris,Directed,9,kevinomccarthy,1
kevinomccarthy,darrellissa,Directed,9,kevinomccarthy,1
kevinomccarthy,gopleader,Directed,9,kevinomccarthy,1
kevinomccarthy,jasoninthehouse,Directed,9,kevinomccarthy,1
kevinomccarthy,johnboehner,Directed,9,kevinomccarthy,1
