Id,Label,In-Degree,Out-Degree,Degree,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Authority,Hub,Modularity Class,Clustering Coefficient,Eigenvector Centrality
boblatta,boblatta,7,9,16,16,7,9,2,1.1,1.55,0.09756097,0.102564104,0,0.7222222,0.908073588
buckmckeon,buckmckeon,8,9,17,17,8,9,2,1.1,17.55,0.1097561,0.115384616,0,0.7083333,1
cathymcmorris,cathymcmorris,7,10,17,17,7,10,1,1,3.883333333,0.09756097,0.102564104,1,0.6,0.908073588
darrellissa,darrellissa,7,10,17,17,7,10,1,1,3.883333333,0.09756097,0.102564104,1,0.6,0.908073588
deptofdefense,deptofdefense,6,2,8,8,6,2,3,1.9,9.2,0.085365854,0.08974359,0,0.8,0.741612823
deptvetaffairs,deptvetaffairs,5,1,6,6,5,1,4,2.8,0,0.07317073,0.07692308,0,0.85,0.62944904
gopleader,gopleader,7,8,15,15,7,8,2,1.2,0.6,0.09756097,0.102564104,1,0.83928573,0.908073588
jasoninthehouse,jasoninthehouse,7,8,15,15,7,8,2,1.2,2.333333333,0.09756097,0.102564104,1,0.78571427,0.908073588
johnboehner,johnboehner,7,7,14,14,7,7,2,1.3,0,0.09756097,0.102564104,1,1,0.908073588
kevinomccarthy,kevinomccarthy,7,7,14,14,7,7,2,1.3,0,0.09756097,0.102564104,1,1,0.908073588
nancypelosi,nancypelosi,3,0,3,3,3,0,0,0,0,0.048780486,0,1,1,0.383587365
